,JD,Band,mag,mag_err,effective_wavelength
1415,5852.808799999999,U,13.46,0.04,3663
1495,5852.810700000002,B,13.07,0.04,4361
1617,5852.811900000001,V,12.07,0.04,5448
1618,5852.8139999999985,V,12.06,0.04,5448
1286,5853.209999999999,UVW1,14.83,0.04,2910
1416,5853.2119999999995,U,13.47,0.04,3663
1496,5853.213000000003,B,13.13,0.04,4361
893,5853.215900000003,UVW2,16.02,0.06,2120
1619,5853.218800000002,V,12.12,0.04,5448
1103,5853.2232,UVM2,16.35,0.07,2310
650,5853.57,H,11.415,0.01,16300
651,5853.57,K,11.632,0.013,21900
649,5853.57,J,12.425,0.012,12200
1287,5854.290000000001,UVW1,14.92,0.05,2910
1417,5854.291299999997,U,13.47,0.04,3663
1497,5854.292000000001,B,13.15,0.04,4361
894,5854.2929,UVW2,16.08,0.09,2120
1288,5854.353999999999,UVW1,14.94,0.05,2910
1418,5854.355199999998,U,13.5,0.04,3663
1498,5854.3557999999975,B,13.17,0.04,4361
1620,5854.359299999996,V,12.14,0.04,5448
1104,5854.360000000001,UVM2,16.1,0.14,2310
1289,5855.081299999998,UVW1,14.94,0.05,2910
1419,5855.082600000002,U,13.52,0.04,3663
1499,5855.083299999998,B,13.2,0.04,4361
895,5855.085299999999,UVW2,16.1,0.07,2120
1621,5855.087299999999,V,12.18,0.04,5448
1105,5855.0903000000035,UVM2,16.4,0.08,2310
1290,5855.1514000000025,UVW1,14.92,0.05,2910
1420,5855.152699999999,U,13.51,0.04,3663
1500,5855.153400000003,B,13.2,0.04,4361
896,5855.155400000003,UVW2,16.14,0.07,2120
1622,5855.157399999996,V,12.16,0.04,5448
1106,5855.160499999998,UVM2,16.37,0.08,2310
1291,5855.8842,UVW1,14.94,0.05,2910
1421,5855.885399999999,U,13.57,0.04,3663
1501,5855.886100000003,B,13.19,0.04,4361
897,5855.887999999999,UVW2,16.14,0.07,2120
1623,5855.889799999997,V,12.2,0.04,5448
1107,5855.892699999997,UVM2,16.42,0.08,2310
1292,5855.951200000003,UVW1,14.93,0.05,2910
1422,5855.952400000002,U,13.59,0.04,3663
1502,5855.953000000001,B,13.22,0.04,4361
898,5855.9547999999995,UVW2,16.12,0.07,2120
1624,5855.9565,V,12.24,0.04,5448
1108,5855.959300000002,UVM2,16.44,0.09,2310
1293,5856.953699999998,UVW1,14.93,0.05,2910
1423,5856.955199999997,U,13.59,0.04,3663
1503,5856.955999999998,B,13.19,0.04,4361
899,5856.958299999998,UVW2,16.12,0.06,2120
1625,5856.9605999999985,V,12.23,0.04,5448
1109,5856.963799999998,UVM2,16.36,0.08,2310
1294,5857.0196,UVW1,14.92,0.06,2910
1424,5857.020199999999,U,13.61,0.04,3663
1504,5857.020499999999,B,13.24,0.04,4361
900,5857.021399999998,UVW2,16.07,0.08,2120
1626,5857.022199999999,V,12.3,0.04,5448
1110,5857.023399999998,UVM2,16.55,0.12,2310
1425,5857.024599999997,U,13.65,0.05,3663
1426,5857.025399999999,U,13.66,0.04,3663
1505,5857.026599999997,B,13.3,0.04,4361
1506,5857.027399999999,B,13.24,0.04,4361
1627,5857.028599999998,V,12.25,0.04,5448
1628,5857.0311,V,12.25,0.04,5448
1295,5858.022499999999,UVW1,15.01,0.06,2910
1427,5858.0230999999985,U,13.62,0.04,3663
1507,5858.023399999998,B,13.31,0.04,4361
901,5858.024299999997,UVW2,16.16,0.09,2120
1629,5858.025099999999,V,12.3,0.04,5448
1111,5858.0262,UVM2,16.45,0.11,2310
1428,5858.027399999999,U,13.56,0.05,3663
1429,5858.028200000001,U,13.63,0.04,3663
295,5858.43,U,13.358,0.064,3663
296,5858.43,B,13.281,0.009,4361
297,5858.43,V,12.152,0.019,5448
298,5858.43,R,11.936,0.013,6407
299,5858.43,I,11.686,0.022,7980
1296,5859.029000000002,UVW1,14.98,0.05,2910
1430,5859.030200000001,U,13.63,0.04,3663
1508,5859.0308,B,13.27,0.04,4361
902,5859.032599999999,UVW2,16.2,0.07,2120
1630,5859.034299999999,V,12.27,0.04,5448
1112,5859.037100000001,UVM2,16.55,0.09,2310
1297,5859.502,UVW1,15.06,0.05,2910
1431,5859.503100000002,U,13.66,0.04,3663
1509,5859.503700000001,B,13.28,0.04,4361
903,5859.505299999997,UVW2,16.24,0.07,2120
1631,5859.506999999998,V,12.29,0.04,5448
1113,5859.5095,UVM2,16.55,0.09,2310
1432,5859.561699999998,U,13.62,0.04,3663
1510,5859.561999999998,B,13.29,0.04,4361
904,5859.563099999999,UVW2,16.27,0.09,2120
1632,5859.564100000003,V,12.31,0.04,5448
1114,5859.565900000001,UVM2,16.62,0.11,2310
1433,5859.5677,U,13.61,0.05,3663
1434,5859.568500000001,U,13.67,0.04,3663
1511,5859.5697,B,13.27,0.04,4361
654,5859.57,K,11.927,0.012,21900
653,5859.57,H,11.708,0.008,16300
652,5859.57,J,12.92,0.011,12200
1512,5859.570500000002,B,13.25,0.04,4361
1633,5859.571600000003,V,12.33,0.04,5448
1634,5859.573400000001,V,12.3,0.04,5448
1298,5860.630499999999,UVW1,15.21,0.05,2910
1435,5860.632400000002,U,13.77,0.04,3663
1513,5860.633399999999,B,13.42,0.04,4361
905,5860.636200000001,UVW2,16.53,0.07,2120
1635,5860.639000000003,V,12.41,0.04,5448
1115,5860.642999999996,UVM2,16.75,0.09,2310
1436,5861.0985999999975,U,13.7,0.05,3663
1437,5861.099399999999,U,13.69,0.04,3663
1514,5861.100599999998,B,13.22,0.04,4361
1515,5861.1014,B,13.28,0.04,4361
1636,5861.102500000001,V,12.36,0.04,5448
1637,5861.103499999997,V,12.34,0.04,5448
1299,5861.767200000002,UVW1,15.09,0.05,2910
1438,5861.769,U,13.72,0.04,3663
1516,5861.769899999999,B,13.37,0.04,4361
906,5861.772599999997,UVW2,16.25,0.07,2120
1638,5861.775300000001,V,12.4,0.04,5448
1116,5861.779600000002,UVM2,16.67,0.09,2310
1439,5862.233899999999,U,13.77,0.05,3663
1440,5862.234700000001,U,13.73,0.04,3663
1517,5862.2359,B,13.37,0.04,4361
1518,5862.236700000001,B,13.29,0.04,4361
1639,5862.2379,V,12.36,0.04,5448
1640,5862.239500000003,V,12.37,0.04,5448
1300,5862.502800000002,UVW1,15.13,0.05,2910
1441,5862.5046,U,13.76,0.04,3663
1519,5862.505599999997,B,13.39,0.04,4361
907,5862.508300000001,UVW2,16.28,0.07,2120
1641,5862.510999999999,V,12.44,0.04,5448
1117,5862.515099999997,UVM2,16.6,0.09,2310
1442,5863.638700000003,U,13.69,0.05,3663
1443,5863.6394999999975,U,13.72,0.04,3663
1520,5863.640700000004,B,13.34,0.04,4361
1521,5863.641499999998,B,13.32,0.04,4361
1642,5863.642599999999,V,12.53,0.04,5448
1643,5863.644,V,12.42,0.04,5448
1301,5864.376600000003,UVW1,15.21,0.05,2910
1444,5864.378499999999,U,13.8,0.04,3663
1522,5864.379399999998,B,13.4,0.04,4361
908,5864.3822,UVW2,16.29,0.07,2120
1644,5864.385000000002,V,12.47,0.04,5448
1118,5864.389300000003,UVM2,16.68,0.09,2310
1445,5864.507700000002,U,13.85,0.05,3663
1446,5864.508500000004,U,13.76,0.04,3663
1523,5864.509700000002,B,13.46,0.04,4361
1524,5864.510499999997,B,13.36,0.04,4361
1645,5864.511599999998,V,12.48,0.04,5448
1646,5864.513200000001,V,12.44,0.04,5448
1302,5864.709699999999,UVW1,15.18,0.05,2910
1447,5864.7117,U,13.79,0.04,3663
1525,5864.712599999999,B,13.43,0.04,4361
909,5864.715499999998,UVW2,16.41,0.07,2120
1647,5864.7183,V,12.5,0.04,5448
1119,5864.722300000001,UVM2,16.8,0.1,2310
1448,5866.113100000002,U,13.8,0.05,3663
1449,5866.113899999997,U,13.89,0.04,3663
1526,5866.115100000003,B,13.39,0.04,4361
1527,5866.115899999997,B,13.38,0.04,4361
1648,5866.116999999998,V,12.46,0.04,5448
1649,5866.118699999999,V,12.49,0.04,5448
1303,5866.382599999997,UVW1,15.24,0.05,2910
1450,5866.384400000003,U,13.8,0.04,3663
1528,5866.385300000002,B,13.42,0.04,4361
910,5866.387999999999,UVW2,16.42,0.07,2120
1650,5866.390700000004,V,12.52,0.04,5448
1120,5866.3946,UVM2,16.68,0.09,2310
1451,5866.715199999999,U,13.76,0.05,3663
1452,5866.716,U,13.82,0.04,3663
1529,5866.717100000002,B,13.42,0.04,4361
1530,5866.718000000001,B,13.39,0.04,4361
1651,5866.719100000002,V,12.58,0.04,5448
1652,5866.720800000003,V,12.52,0.04,5448
1304,5866.855199999998,UVW1,15.32,0.06,2910
1453,5866.856,U,13.81,0.04,3663
1531,5866.856399999997,B,13.43,0.04,4361
911,5866.857600000003,UVW2,16.47,0.09,2120
1653,5866.858899999999,V,12.53,0.04,5448
1121,5866.860800000002,UVM2,16.91,0.12,2310
1305,5867.455000000002,UVW1,15.32,0.05,2910
1454,5867.456400000003,U,13.77,0.04,3663
1532,5867.457199999997,B,13.44,0.04,4361
912,5867.459300000002,UVW2,16.45,0.08,2120
1654,5867.461300000003,V,12.54,0.04,5448
1122,5867.464599999999,UVM2,16.8,0.1,2310
1455,5867.518799999998,U,13.88,0.05,3663
1456,5867.5196,U,13.85,0.04,3663
1533,5867.520799999998,B,13.42,0.04,4361
1534,5867.5216,B,13.38,0.04,4361
1655,5867.522799999999,V,12.56,0.04,5448
1656,5867.523999999998,V,12.55,0.04,5448
1306,5867.586199999998,UVW1,15.28,0.05,2910
1457,5867.588300000003,U,13.83,0.04,3663
1535,5867.5893,B,13.46,0.04,4361
913,5867.592400000001,UVW2,16.52,0.07,2120
1657,5867.595600000001,V,12.57,0.04,5448
1123,5867.600100000003,UVM2,16.89,0.1,2310
1307,5867.987200000003,UVW1,15.3,0.06,2910
1458,5867.9879,U,13.85,0.04,3663
1536,5867.988299999997,B,13.37,0.04,4361
914,5867.989300000001,UVW2,16.5,0.1,2120
1658,5867.990400000002,V,12.57,0.04,5448
1124,5867.992200000001,UVM2,16.83,0.12,2310
1459,5868.522299999997,U,13.9,0.06,3663
1460,5868.5230999999985,U,13.91,0.04,3663
1537,5868.5242,B,13.49,0.04,4361
1538,5868.5250000000015,B,13.4,0.04,4361
1659,5868.5262,V,12.61,0.04,5448
1660,5868.5274999999965,V,12.58,0.04,5448
1308,5868.6567,UVW1,15.3,0.05,2910
1461,5868.658499999998,U,13.87,0.04,3663
1539,5868.659500000002,B,13.5,0.04,4361
915,5868.662199999999,UVW2,16.55,0.08,2120
1661,5868.664900000003,V,12.6,0.04,5448
1125,5868.669099999999,UVM2,16.93,0.1,2310
1309,5872.608800000002,UVW1,15.43,0.05,2910
1462,5872.6106,U,13.96,0.04,3663
1540,5872.6115999999965,B,13.56,0.04,4361
916,5872.614300000001,UVW2,16.66,0.08,2120
1662,5872.616999999998,V,12.67,0.04,5448
1126,5872.620600000002,UVM2,17.05,0.12,2310
1310,5875.220300000001,UVW1,15.98,0.1,2910
1463,5875.2211000000025,U,14.03,0.05,3663
1541,5875.2215,B,13.58,0.04,4361
917,5875.222600000001,UVW2,16.52,0.1,2120
1663,5875.2238,V,12.67,0.04,5448
1127,5875.2255000000005,UVM2,17.32,0.16,2310
1311,5877.432699999998,UVW1,15.59,0.06,2910
1464,5877.434500000003,U,14.14,0.04,3663
1542,5877.435400000002,B,13.66,0.04,4361
918,5877.438099999999,UVW2,16.69,0.08,2120
1664,5877.440799999997,V,12.84,0.04,5448
1128,5877.4446000000025,UVM2,17.13,0.12,2310
1312,5878.7004000000015,UVW1,15.67,0.06,2910
1465,5878.7022,U,14.12,0.04,3663
1543,5878.703099999999,B,13.61,0.04,4361
919,5878.705699999999,UVW2,16.9,0.09,2120
1665,5878.708400000003,V,12.87,0.04,5448
1129,5878.712099999997,UVM2,17.32,0.14,2310
1313,5881.447099999998,UVW1,15.62,0.06,2910
1466,5881.4490000000005,U,14.2,0.04,3663
1544,5881.4499,B,13.62,0.04,4361
920,5881.452700000002,UVW2,16.99,0.1,2120
1666,5881.455499999996,V,12.94,0.04,5448
1130,5881.459300000002,UVM2,17.36,0.15,2310
1314,5882.533199999998,UVW1,15.66,0.06,2910
1315,5885.393400000001,UVW1,15.77,0.06,2910
1467,5885.3952999999965,U,14.26,0.04,3663
1545,5885.3963,B,13.68,0.04,4361
921,5885.399100000002,UVW2,16.96,0.1,2120
1667,5885.402000000002,V,13.03,0.04,5448
1131,5885.4061,UVM2,17.37,0.14,2310
1316,5886.801500000001,UVW1,15.79,0.06,2910
1468,5886.803200000002,U,14.27,0.04,3663
1546,5886.804100000001,B,13.72,0.04,4361
922,5886.806700000001,UVW2,17.03,0.1,2120
1668,5886.809300000001,V,13.09,0.04,5448
1132,5886.811800000003,UVM2,17.47,0.16,2310
1317,5889.276100000003,UVW1,15.84,0.06,2910
1469,5889.277900000001,U,14.33,0.04,3663
1547,5889.2788999999975,B,13.75,0.04,4361
923,5889.281600000002,UVW2,17.19,0.11,2120
1669,5889.284299999999,V,13.1,0.04,5448
1133,5889.286200000002,UVM2,17.38,0.17,2310
1318,5891.334499999997,UVW1,15.89,0.06,2910
1470,5891.3364,U,14.44,0.04,3663
1548,5891.337299999999,B,13.83,0.04,4361
924,5891.3399999999965,UVW2,17.14,0.1,2120
1670,5891.342700000001,V,13.2,0.04,5448
1134,5891.346299999997,UVM2,17.57,0.16,2310
300,5891.9,B,13.747,0.009,4361
301,5891.9,V,13.078,0.01,5448
302,5891.9,R,13.031,0.01,6407
303,5891.9,I,13.119,0.021,7980
1319,5893.4067,UVW1,15.97,0.06,2910
1471,5893.4086000000025,U,14.54,0.04,3663
1549,5893.409500000002,B,13.83,0.04,4361
925,5893.412199999999,UVW2,17.18,0.11,2120
1671,5893.414900000003,V,13.25,0.04,5448
1135,5893.4185,UVM2,17.94,0.2,2310
304,5894.87,U,14.305,0.05,3663
305,5894.87,B,13.791,0.008,4361
306,5894.87,V,13.157,0.017,5448
307,5894.87,R,13.114,0.014,6407
308,5894.87,I,13.218,0.021,7980
1320,5895.411599999999,UVW1,16.0,0.07,2910
1472,5895.4133,U,14.46,0.04,3663
1550,5895.414199999999,B,13.87,0.04,4361
926,5895.4168999999965,UVW2,17.22,0.11,2120
1672,5895.419500000004,V,13.27,0.04,5448
1136,5895.423199999997,UVM2,17.98,0.21,2310
1321,5896.959600000002,UVW1,15.97,0.07,2910
1473,5896.9605999999985,U,14.57,0.05,3663
1551,5896.9611,B,13.85,0.04,4361
927,5896.962599999999,UVW2,17.29,0.14,2120
1673,5896.964099999997,V,13.33,0.04,5448
1137,5896.966200000003,UVM2,17.56,0.17,2310
1322,5899.157500000001,UVW1,16.09,0.07,2910
1474,5899.159299999999,U,14.61,0.04,3663
1552,5899.160199999998,B,13.88,0.04,4361
928,5899.1630000000005,UVW2,17.51,0.14,2120
1674,5899.165699999998,V,13.34,0.04,5448
1138,5899.169900000001,UVM2,17.99,0.21,2310
1323,5901.031499999997,UVW1,16.11,0.07,2910
1475,5901.033300000003,U,14.68,0.04,3663
1553,5901.034299999999,B,13.97,0.04,4361
929,5901.037100000001,UVW2,17.56,0.14,2120
1675,5901.039900000003,V,13.45,0.04,5448
1139,5901.0437999999995,UVM2,18.53,0.31,2310
1324,5903.230600000003,UVW1,16.16,0.07,2910
1476,5903.232400000001,U,14.71,0.04,3663
1554,5903.233399999997,B,13.92,0.04,4361
930,5903.235999999997,UVW2,17.5,0.13,2120
1676,5903.238700000002,V,13.5,0.04,5448
1325,5904.5668000000005,UVW1,16.23,0.07,2910
1477,5904.568700000003,U,14.75,0.04,3663
1555,5904.5697,B,13.99,0.04,4361
931,5904.572500000002,UVW2,17.73,0.15,2120
1677,5904.575299999997,V,13.53,0.04,5448
1140,5904.579599999997,UVM2,18.18,0.24,2310
310,5906.89,B,13.941,0.011,4361
309,5906.89,U,14.728,0.044,3663
311,5906.89,V,13.451,0.01,5448
312,5906.89,R,13.497,0.011,6407
313,5906.89,I,13.645,0.02,7980
314,5908.91,U,14.7,0.048,3663
315,5908.91,B,13.956,0.011,4361
316,5908.91,V,13.466,0.015,5448
317,5908.91,R,13.555,0.012,6407
318,5908.91,I,13.707,0.02,7980
1326,5909.447200000002,UVW1,16.25,0.07,2910
1478,5909.4490000000005,U,14.79,0.04,3663
1556,5909.4499,B,14.04,0.04,4361
932,5909.452499999999,UVW2,17.67,0.15,2120
1678,5909.455099999999,V,13.61,0.04,5448
1141,5909.4591,UVM2,18.28,0.26,2310
323,5910.93,I,13.777,0.022,7980
322,5910.93,R,13.621,0.015,6407
320,5910.93,B,13.962,0.009,4361
319,5910.93,U,14.837,0.053,3663
321,5910.93,V,13.547,0.008,5448
324,5911.86,U,14.958,0.055,3663
325,5911.86,B,14.007,0.011,4361
326,5911.86,V,13.592,0.011,5448
327,5911.86,R,13.653,0.011,6407
328,5911.86,I,13.815,0.021,7980
333,5912.93,I,13.862,0.019,7980
331,5912.93,V,13.601,0.011,5448
330,5912.93,B,14.035,0.011,4361
329,5912.93,U,15.056,0.043,3663
332,5912.93,R,13.684,0.012,6407
1327,5913.390500000001,UVW1,16.46,0.08,2910
1479,5913.3922999999995,U,14.95,0.05,3663
1557,5913.393300000003,B,14.06,0.04,4361
933,5913.396000000001,UVW2,17.89,0.18,2120
1679,5913.398699999998,V,13.66,0.04,5448
1142,5913.402699999999,UVM2,18.28,0.26,2310
334,5913.86,U,15.217,0.105,3663
335,5913.86,B,14.03,0.011,4361
336,5913.86,V,13.631,0.019,5448
337,5913.86,R,13.767,0.044,6407
338,5913.86,I,13.848,0.078,7980
339,5914.91,U,14.954,0.049,3663
340,5914.91,B,14.036,0.011,4361
342,5914.91,R,13.751,0.011,6407
343,5914.91,I,13.92,0.023,7980
341,5914.91,V,13.647,0.008,5448
346,5916.91,V,13.689,0.008,5448
347,5916.91,R,13.803,0.011,6407
348,5916.91,I,13.973,0.018,7980
345,5916.91,B,14.076,0.011,4361
344,5916.91,U,15.23,0.045,3663
349,5917.9,U,15.117,0.042,3663
350,5917.9,B,14.096,0.009,4361
351,5917.9,V,13.712,0.008,5448
352,5917.9,R,13.847,0.009,6407
353,5917.9,I,13.989,0.02,7980
356,5918.91,V,13.728,0.006,5448
354,5918.91,U,15.219,0.042,3663
355,5918.91,B,14.101,0.009,4361
358,5918.91,I,14.036,0.019,7980
357,5918.91,R,13.862,0.01,6407
362,5926.92,I,14.266,0.021,7980
361,5926.92,V,13.916,0.009,5448
360,5926.92,B,14.226,0.012,4361
359,5926.92,U,15.399,0.043,3663
367,5928.88,I,14.296,0.021,7980
366,5928.88,R,14.122,0.014,6407
364,5928.88,B,14.268,0.01,4361
363,5928.88,U,15.593,0.046,3663
365,5928.88,V,13.955,0.009,5448
372,5929.84,I,14.314,0.022,7980
370,5929.84,V,13.975,0.01,5448
371,5929.84,R,14.201,0.009,6407
368,5929.84,U,15.557,0.046,3663
369,5929.84,B,14.278,0.012,4361
377,5934.85,I,14.522,0.018,7980
376,5934.85,R,14.39,0.011,6407
375,5934.85,V,14.108,0.01,5448
374,5934.85,B,14.359,0.015,4361
373,5934.85,U,15.768,0.048,3663
382,5936.91,I,14.515,0.021,7980
381,5936.91,R,14.418,0.011,6407
380,5936.91,V,14.156,0.01,5448
378,5936.91,U,15.94,0.05,3663
379,5936.91,B,14.423,0.015,4361
386,5937.92,R,14.496,0.011,6407
384,5937.92,B,14.426,0.012,4361
385,5937.92,V,14.195,0.009,5448
387,5937.92,I,14.598,0.019,7980
383,5937.92,U,15.883,0.048,3663
388,5938.94,B,14.419,0.016,4361
389,5938.94,V,14.2,0.021,5448
390,5938.94,R,14.479,0.016,6407
391,5938.94,I,14.41,0.047,7980
396,5954.92,I,14.833,0.027,7980
393,5954.92,B,14.673,0.012,4361
395,5954.92,R,14.849,0.017,6407
394,5954.92,V,14.481,0.012,5448
392,5954.92,U,16.606,0.051,3663
400,5960.73,R,15.075,0.016,6407
398,5960.73,B,14.736,0.014,4361
399,5960.73,V,14.597,0.013,5448
397,5960.73,U,16.828,0.048,3663
401,5960.73,I,14.98,0.027,7980
402,5965.84,U,16.537,0.059,3663
405,5965.84,R,15.208,0.013,6407
404,5965.84,V,14.711,0.013,5448
406,5965.84,I,15.175,0.023,7980
403,5965.84,B,14.857,0.011,4361
410,5966.93,I,15.119,0.037,7980
407,5966.93,B,14.885,0.022,4361
408,5966.93,V,14.795,0.021,5448
409,5966.93,R,15.142,0.028,6407
412,5967.9,B,14.86,0.013,4361
413,5967.9,V,14.781,0.013,5448
414,5967.9,R,15.234,0.012,6407
415,5967.9,I,15.155,0.022,7980
411,5967.9,U,16.728,0.085,3663
416,5968.86,U,16.7,0.065,3663
417,5968.86,B,14.857,0.013,4361
418,5968.86,V,14.782,0.013,5448
419,5968.86,R,15.276,0.012,6407
420,5968.86,I,15.187,0.025,7980
424,5971.89,R,15.284,0.017,6407
425,5971.89,I,15.252,0.023,7980
423,5971.89,V,14.856,0.014,5448
421,5971.89,U,17.024,0.056,3663
422,5971.89,B,14.911,0.013,4361
430,5972.89,I,15.197,0.027,7980
429,5972.89,R,15.297,0.019,6407
428,5972.89,V,14.821,0.012,5448
427,5972.89,B,14.918,0.01,4361
426,5972.89,U,17.024,0.048,3663
435,5979.85,I,15.282,0.029,7980
434,5979.85,R,15.511,0.024,6407
433,5979.85,V,14.9,0.011,5448
432,5979.85,B,15.056,0.013,4361
431,5979.85,U,17.228,0.05,3663
436,5981.87,U,17.503,0.05,3663
438,5981.87,V,15.009,0.013,5448
439,5981.87,R,15.516,0.018,6407
437,5981.87,B,15.067,0.015,4361
440,5981.87,I,15.297,0.031,7980
442,5982.84,B,15.073,0.017,4361
443,5982.84,V,14.99,0.017,5448
444,5982.84,R,15.574,0.023,6407
445,5982.84,I,15.371,0.037,7980
441,5982.84,U,17.248,0.061,3663
446,5983.83,U,17.328,0.057,3663
447,5983.83,B,15.062,0.016,4361
448,5983.83,V,15.037,0.019,5448
449,5983.83,R,15.596,0.015,6407
450,5983.83,I,15.356,0.03,7980
453,5985.88,V,15.112,0.011,5448
452,5985.88,B,15.125,0.013,4361
451,5985.88,U,17.274,0.077,3663
455,5985.88,I,15.52,0.024,7980
454,5985.88,R,15.699,0.014,6407
456,5992.84,U,17.729,0.078,3663
457,5992.84,B,15.229,0.02,4361
458,5992.84,V,15.144,0.013,5448
459,5992.84,R,15.761,0.023,6407
460,5992.84,I,15.588,0.027,7980
465,5994.86,I,15.558,0.081,7980
461,5994.86,U,17.248,0.097,3663
462,5994.86,B,15.421,0.041,4361
463,5994.86,V,15.176,0.036,5448
464,5994.86,R,16.037,0.076,6407
466,5996.87,U,18.076,0.099,3663
467,5996.87,B,15.287,0.039,4361
468,5996.87,V,15.182,0.031,5448
469,5996.87,R,15.81,0.051,6407
470,5996.87,I,15.619,0.056,7980
471,5998.85,U,17.51,0.081,3663
472,5998.85,B,15.327,0.014,4361
473,5998.85,V,15.282,0.011,5448
474,5998.85,R,15.95,0.014,6407
475,5998.85,I,15.672,0.022,7980
476,5999.87,U,17.681,0.055,3663
477,5999.87,B,15.322,0.018,4361
478,5999.87,V,15.247,0.016,5448
480,5999.87,I,15.722,0.041,7980
479,5999.87,R,15.859,0.021,6407
484,6010.82,R,16.201,0.017,6407
483,6010.82,V,15.5,0.013,5448
482,6010.82,B,15.477,0.014,4361
481,6010.82,U,18.074,0.062,3663
485,6010.82,I,15.798,0.025,7980
486,6011.79,B,15.478,0.011,4361
487,6011.79,V,15.523,0.013,5448
488,6011.79,R,16.215,0.018,6407
489,6011.79,I,15.943,0.032,7980
490,6012.72,B,15.474,0.018,4361
491,6012.72,V,15.505,0.014,5448
492,6012.72,R,16.092,0.033,6407
493,6012.72,I,15.789,0.056,7980
496,6015.77,V,15.539,0.013,5448
495,6015.77,B,15.531,0.012,4361
497,6015.77,R,16.223,0.018,6407
498,6015.77,I,15.821,0.028,7980
494,6015.77,U,18.008,0.055,3663
503,6020.8,I,16.057,0.029,7980
502,6020.8,R,16.355,0.025,6407
501,6020.8,V,15.666,0.015,5448
499,6020.8,U,17.974,0.081,3663
500,6020.8,B,15.676,0.012,4361
504,6021.71,B,15.653,0.02,4361
505,6021.71,V,15.672,0.019,5448
506,6021.71,R,16.49,0.028,6407
507,6021.71,I,15.909,0.028,7980
512,6029.75,I,16.153,0.021,7980
508,6029.75,U,18.14,0.065,3663
509,6029.75,B,15.784,0.013,4361
510,6029.75,V,15.785,0.012,5448
511,6029.75,R,16.511,0.015,6407
517,6042.81,I,16.249,0.023,7980
514,6042.81,B,15.93,0.012,4361
515,6042.81,V,15.993,0.013,5448
513,6042.81,U,18.581,0.081,3663
516,6042.81,R,16.762,0.016,6407
521,6050.62,R,16.909,0.066,6407
520,6050.62,V,16.102,0.035,5448
519,6050.62,B,16.094,0.033,4361
522,6050.62,I,16.363,0.051,7980
518,6050.62,U,18.052,0.278,3663
523,6062.55,U,19.014,0.159,3663
524,6062.55,B,16.242,0.018,4361
525,6062.55,V,16.281,0.018,5448
526,6062.55,R,17.105,0.027,6407
527,6062.55,I,16.505,0.032,7980
528,6069.62,B,16.304,0.038,4361
529,6069.62,V,16.374,0.019,5448
530,6069.62,R,16.968,0.077,6407
534,6071.61,I,16.529,0.038,7980
533,6071.61,R,17.247,0.028,6407
532,6071.61,V,16.419,0.013,5448
531,6071.61,B,16.357,0.013,4361
535,6077.52,B,16.588,0.114,4361
536,6077.52,V,16.443,0.043,5448
537,6077.52,R,17.325,0.065,6407
538,6077.52,I,16.855,0.087,7980
542,6090.72,I,16.709,0.088,7980
541,6090.72,R,17.399,0.077,6407
540,6090.72,V,16.673,0.033,5448
539,6090.72,B,16.588,0.034,4361
543,6108.53,B,17.318,0.139,4361
544,6108.53,V,17.234,0.082,5448
545,6108.53,R,17.85,0.117,6407
546,6108.53,I,16.937,0.061,7980
547,6137.54,B,17.651,0.101,4361
548,6137.54,V,17.43,0.071,5448
549,6137.54,R,18.258,0.09,6407
550,6137.54,I,17.145,0.059,7980
551,6160.59,B,17.918,0.14,4361
552,6160.59,V,17.814,0.107,5448
553,6160.59,R,18.051,0.155,6407
554,6160.59,I,18.096,0.26,7980
555,6277.56,V,19.36,0.04,5448
557,6277.56,I,18.93,0.03,7980
556,6277.56,R,20.1,0.06,6407
